ROWID,name,rank,station_rowid,designation,kgid,dob,gender,blood_group,is_physically_challenged,appointment_date
1,PSI Joseph Prabhu,PSI,1,Investigating Officer,2256077,1983-03-18,Male,O-,0,2013-03-10
2,DySP Deepa Puthran,DySP,1,Sub-Division Officer,2841319,1997-05-08,Female,A-,0,2019-09-03
3,SI Shivakumar Pinto,SI,1,Investigating Officer,1346296,1976-03-22,Male,O+,0,2005-12-21
4,SI Darshan Madiwal,SI,1,Investigating Officer,2408629,1995-12-07,Male,O-,0,2022-06-22
5,PSI Venkatesh Sharma,PSI,1,Investigating Officer,2234048,1982-01-19,Male,B-,1,2012-05-08
6,PSI Nagaraj Murthy,PSI,1,Investigating Officer,1584009,1973-06-03,Male,AB-,0,2003-09-25
7,Inspector Farhan Sharma,Inspector,2,Station House Officer,2381986,1997-07-07,Male,AB+,0,2020-08-19
8,ASI Manjunath Pasha,ASI,2,Investigating Officer,2678964,1992-02-02,Male,A-,0,2020-07-17
9,SI Bhavya Kamath,SI,2,Investigating Officer,2694545,1980-08-08,Female,A-,0,2004-03-16
10,DySP Suresh Kulkarni,DySP,2,Sub-Division Officer,1448260,1979-03-14,Male,AB+,0,2008-11-07
11,PSI Lakshmi Hiremath,PSI,2,Investigating Officer,2388044,1997-08-10,Female,AB-,0,2026-05-14
12,ASI Gowri Kini,ASI,3,Investigating Officer,2225109,1973-12-11,Female,AB-,0,1995-12-31
13,DySP Vinod Shetty,DySP,3,Sub-Division Officer,1846778,1974-03-03,Male,A-,0,1997-06-25
14,PSI Santhosh Bangera,PSI,3,Investigating Officer,2960221,1993-10-19,Male,O+,0,2024-03-21
15,SI Ajay Patil,SI,3,Investigating Officer,2948292,1993-11-10,Male,A-,1,2023-04-13
16,SI Girish Hegde,SI,3,Investigating Officer,2843963,1988-05-05,Male,B-,0,2015-06-03
17,SI Pallavi Sait,SI,3,Investigating Officer,1627842,1997-11-17,Female,A-,0,2020-08-21
18,ASI Lokesh Fernandes,ASI,4,Investigating Officer,1426974,1980-05-20,Male,O+,0,2005-11-05
19,ASI Manjunath Kulkarni,ASI,4,Investigating Officer,2617154,1998-05-02,Male,B+,0,2020-10-13
20,ASI Irfan Udupa,ASI,4,Investigating Officer,2144185,1989-01-04,Male,A+,0,2012-03-15
21,PSI Anand Poojary,PSI,4,Investigating Officer,1440562,1981-06-26,Male,B-,0,2003-12-21
22,ASI Bharath Bangera,ASI,4,Investigating Officer,1051980,1979-03-26,Male,B+,0,2003-10-17
23,ASI Bharath Iyer,ASI,5,Investigating Officer,1802248,1995-04-09,Male,A+,0,2019-05-28
24,SI Abdul Biradar,SI,5,Investigating Officer,1835643,1997-04-08,Male,O-,0,2019-07-10
25,SI Mary Jadhav,SI,5,Investigating Officer,2969723,1988-07-22,Female,A+,0,2018-12-31
26,DySP Anil Kini,DySP,5,Sub-Division Officer,2527869,1980-01-04,Male,O-,0,2008-06-21
27,Inspector Umesh Hiremath,Inspector,5,Station House Officer,2090351,1978-05-02,Male,B-,0,2006-04-25
28,SI Ambika Kamat,SI,5,Investigating Officer,2063512,1982-11-28,Female,O+,0,2006-04-24
29,PSI Hanumantha Udupa,PSI,6,Investigating Officer,1631137,1985-11-13,Male,AB+,0,2010-08-25
30,SI Nisha Acharya,SI,6,Investigating Officer,1926492,1990-10-21,Female,AB-,0,2018-06-09
31,PSI Sunil Sheikh,PSI,6,Investigating Officer,2716358,1988-11-21,Male,B-,0,2016-01-01
32,PSI Pavan Pai,PSI,6,Investigating Officer,1869145,1979-08-20,Male,B-,0,2003-04-04
33,PSI Vikram Sharma,PSI,6,Investigating Officer,1458943,1994-01-25,Male,B+,0,2017-08-24
34,ASI Syed Shetty,ASI,6,Investigating Officer,2172151,1975-08-05,Male,O-,0,2005-04-25
35,Inspector Joseph Poojary,Inspector,7,Station House Officer,1543564,1989-08-06,Male,B-,0,2019-03-17
36,ASI Wilson Ballal,ASI,7,Investigating Officer,1569827,1980-08-03,Male,O-,0,2006-11-25
37,PSI Raghavendra Pai,PSI,7,Investigating Officer,1870041,1994-03-23,Male,AB+,0,2019-04-18
38,Inspector Nagaraj Acharya,Inspector,7,Station House Officer,1797716,1984-10-23,Male,AB-,1,2007-08-08
39,Inspector Madhu Devadiga,Inspector,7,Station House Officer,2023891,1998-07-18,Male,B-,0,2028-10-30
40,ASI Madhu Kattimani,ASI,7,Investigating Officer,2928418,1997-07-24,Male,B+,0,2022-03-14
41,ASI Sudeep Kini,ASI,7,Investigating Officer,2817919,1972-02-21,Male,AB-,0,2000-04-23
42,SI Darshan Salian,SI,8,Investigating Officer,2750935,1996-07-09,Male,A-,0,2024-11-08
43,PSI Manjunath Biradar,PSI,8,Investigating Officer,1418089,1974-11-02,Male,A+,0,1997-03-02
44,PSI Farhan Sheikh,PSI,8,Investigating Officer,1351879,1978-08-23,Male,A-,0,2005-02-20
45,ASI Divya Deshpande,ASI,8,Investigating Officer,2974406,1981-10-22,Female,B-,0,2010-05-06
46,ASI Sanjay Deshpande,ASI,8,Investigating Officer,2641305,1981-11-20,Male,A+,0,2005-08-30
47,SI Shankar Hegde,SI,8,Investigating Officer,1221331,1982-01-28,Male,AB+,0,2010-09-28
48,ASI Imran Naik,ASI,9,Investigating Officer,1974910,1992-05-20,Male,AB+,0,2023-01-15
49,PSI Abhishek Devadiga,PSI,9,Investigating Officer,2195061,1974-05-15,Male,AB+,0,2000-01-01
50,SI Abhishek Naik,SI,9,Investigating Officer,2165578,1983-05-11,Male,A+,0,2009-09-22
51,SI Rekha DSouza,SI,9,Investigating Officer,1939890,1989-04-23,Female,A+,0,2018-12-23
52,ASI Sanjay Pawar,ASI,9,Investigating Officer,1892346,1983-08-18,Male,O-,0,2014-02-02
53,PSI Puneeth Patil,PSI,9,Investigating Officer,2994134,1995-04-11,Male,B+,0,2019-01-04
54,ASI Basavaraj DSouza,ASI,9,Investigating Officer,2746148,1996-09-20,Male,B-,0,2022-11-04
55,SI Lakshmi Sait,SI,10,Investigating Officer,2462590,1980-01-02,Female,B+,0,2010-05-23
56,PSI Lokesh Moily,PSI,10,Investigating Officer,1386638,1981-08-16,Male,A+,0,2011-01-30
57,PSI Umesh Iyengar,PSI,10,Investigating Officer,1312890,1987-02-19,Male,O+,0,2009-05-01
58,ASI Nithin Prabhu,ASI,10,Investigating Officer,1944797,1991-04-25,Male,AB-,0,2021-10-28
